HGNC	entrez_id
C1QB	713
C1QC	714
C1QTNF5	114902
C1R	715
C1S	716
C1orf192	257177
C2	717
C2CD3	26005
C2orf65	130951
C2orf69	205327
C3	718
C3AR1	719
C4A	720
C4B	721
C5	727
C6	729
C6orf62	81688
C7	730
C8A	731
C8B	732
C9	735
CA12	771
CA2	760
CA5A	763
CA8	767
CABP2	51475
CABP4	57010
CACNA1A	773
CACNA1B	774
CACNA1C	775
CACNA1D	776
CACNA1F	778
CACNA1H	8912
CACNA2D1	781
CACNA2D2	9254
CACNA2D4	93589
CACNB4	785
CAD	790
CALR	811
CAMK2A	815
CAMK2B	816
CAMK2G	818
CAMTA1	23261
CANT1	124583
CAPN1	823
CAPN10	11132
CAPN3	825
CAPZA2	830
CARD11	84433
CARD9	64170
CARMIL2	146206
CARS1	833
CARS2	79587
CASK	8573
CASP10	843
CASP2	835
CASP8	841
CASQ2	845
CAST	831
CASZ1	54897
CAT	847
CATSPER1	117144
CAV1	857
CAV3	859
CAVIN1	284119
CBFB	865
CBLIF	2694
CBS	875
CBX1	10951
CBY1	25776
CC2D1A	54862
CC2D2A	57545
CCBE1	147372
CCDC103	388389
CCDC32	90416
CCDC39	339829
CCDC40	55036
CCDC47	57003
CCDC50	152137
CCDC65	85478
CCDC78	124093
CCDC8	83987
CCDC82	79780
CCDC88A	55704
CCDC88C	440193
CCM2	83605
CCN6	8838
CCNA2	890
CCNC	892
CCND2	894
CCND3	896
CCNO	10309
CCNQ	92002
CCNT2	905
CCT2	10576
CCT3	7203
CCT4	10575
CCT6A	908
CD151	977
CD19	930
CD247	919
CD27	939
CD2AP	23607
CD36	948
CD3D	915
CD3E	916
CD3G	917
CD4	920
CD40	958
CD40LG	959
CD46	4179
CD55	1604
CD59	966
CD70	970
CD79A	973
CD79B	974
CDAN1	146059
CDC14A	8556
CDC23	8697
CDC27	996
CDC40	51362
CDC42BPB	9578
CDC45	8318
CDC5L	988
CDC73	79577
CDH1	999
CDH11	1009
CDH2	1000
CDH23	64072
CDH3	1001
CDH6	1004
CDH8	1006
CDHR1	92211
CDK1	983
CDK10	8558
CDK13	8621
CDK16	5127
CDK5RAP2	55755
CDK6	1021
CDKL5	6792
CDKN1B	1027
CDKN1C	1028
CDKN2A	1029
CDON	50937
CDSN	1041
CDT1	81620
CEACAM16	388551
CEBPE	1053
CEL	1056
CELF1	10658
CELF2	10659
CELF4	56853
CELSR1	9620
CENPF	1063
CENPJ	55835
CEP104	9731
CEP112	201134
CEP120	153241
CEP135	9662
CEP152	22995
CEP164	22897
CEP19	84984
CEP250	11190
CEP290	80184
CEP41	95681
CEP55	55165
CEP57	9702
CEP63	80254
CEP78	84131
CEP83	51134
CEP85L	387119
CEPT1	10390
CERKL	375298
CERS3	204219
CETP	1071
CFAP251	144406
CFAP298	56683
CFAP300	85016
CFAP410	755
CFAP418	157657
CFAP43	80217
CFAP44	55779
CFAP53	220136
CFAP58	159686
CFAP65	255101
CFAP69	79846
CFB	629
CFD	1675
CFH	3075
CFHR5	81494
CFI	3426
CFL2	1073
CFP	5199
CFTR	1080
CHAMP1	283489
CHAT	1103
CHCHD10	400916
CHD2	1106
CHD3	1107
CHD4	1108
CHD5	26038
CHD7	55636
CHD8	57680
CHEK2	11200
CHKB	1120
CHKB-CPT1B	386593
CHM	1121
CHMP2B	25978
CHRDL1	91851
CHRNA1	1134
CHRNA2	1135
CHRNA3	1136
CHRNB1	1140
CHRND	1144
CHRNE	1145
CHRNG	1146
CHST14	113189
CHST3	9469
CHST6	4166
CHSY1	22856
CHUK	1147
CIB1	10519
CIB2	10518
CIC	23152
CIITA	4261
CILK1	22858
CISD2	493856
CIT	11113
CKAP2L	150468
CKAP5	9793
CLCN1	1180
CLCN2	1181
CLCN4	1183
CLCN5	1184
CLCN7	1186
CLCNKB	1188
CLDN1	9076
CLDN14	23562
CLDN16	10686
CLDN19	149461
CLIC5	53405
CLIP1	6249
CLMP	79827
CLN3	1201
CLN5	1203
CLN6	54982
CLN8	2055
CLOCK	9575
CLPB	81570
CLPP	8192
CLPX	10845
CLRN1	7401
CLTC	1213
CNGA1	1259
CNGA2	1260
CNGA3	1261
CNGB1	1258
CNGB3	54714
CNKSR2	22866
CNNM2	54805
CNNM4	26504
CNOT1	23019
CNOT2	4848
CNOT4	4850
CNOT6L	246175
CNPY3	10695
CNTN1	1272
CNTN2	6900
CNTNAP1	8506
CNTNAP2	26047
CNTRL	11064
COA7	65260
COA8	84334
COASY	80347
COCH	1690
COG1	9382
COG2	22796
COG4	25839
COG5	10466
COG6	57511
COG7	91949
COG8	84342
COL10A1	1300
COL11A1	1301
COL11A2	1302
COL12A1	1303
COL13A1	1305
COL17A1	1308
COL18A1	80781
COL1A1	1277
COL1A2	1278
COL27A1	85301
COL2A1	1280
COL3A1	1281
COL4A1	1282
COL4A2	1284
COL4A3	1285
COL4A4	1286
COL4A5	1287
COL5A1	1289
COL5A2	1290
COL6A1	1291
COL6A2	1292
COL6A3	1293
COL7A1	1294
COL9A3	1299
COLEC10	10584
COLEC11	78989
COLQ	8292
COMP	1311
COPB1	1315
COPS2	9318
COPS3	8533
COPS4	51138
COPS5	10987
COQ2	27235
COQ4	51117
COQ6	51004
COQ8A	56997
COQ8B	79934
COQ9	57017
CORO1A	11151
COX10	1352
COX15	1355
COX7B	1349
CP	1356
CPA1	1357
CPAMD8	27151
CPB1	1360
CPE	1363
CPEB1	64506
CPLANE1	65250
CPLX1	10815
CPN1	1369
CPOX	1371
CPS1	1373
CPSF1	29894
CPSF6	11052
CPT1A	1374
CPT1C	126129
CPT2	1376
CR2	1380
CRADD	8738
CRB1	23418
CRB2	286204
CRBN	51185
CREB1	1385
CREB3L1	90993
CREB3L3	84699
CREBBP	1387
CRELD1	78987
CRIPT	9419
CRK	1398
CRLF1	9244
CRPPA	729920
CRTAP	10491
CRX	1406
CRYAA	1409
CRYAB	1410
CRYBB1	1414
CRYGD	1421
CS	1431
CSDE1	7812
CSE1L	1434
CSF1R	1436
CSF2RA	1438
CSF2RB	1439
CSF3R	1441
CSNK1A1	1452
CSNK1G1	53944
CSNK2A1	1457
CSNK2A2	1459
CSNK2B	1460
CSPP1	79848
CSRP3	8048
CSTA	1475
CSTB	1476
CSTF3	1479
CTC1	80169
CTCF	10664
CTDSPL2	51496
CTH	1491
CTLA4	1493
CTNNA1	1495
CTNNA2	1496
CTNNB1	1499
CTNND1	1500
CTNND2	1501
CTNS	1497
CTPS1	1503
CTR9	9646
CTRC	11330
CTSA	5476
CTSC	1075
CTSD	1509
CTSF	8722
CTSK	1513
CTU2	348180
CUBN	8029
CUL1	8454
CUL2	8453
CUL3	8452
CUL4B	8450
CUL5	8065
CUL7	9820
CUX1	1523
CWC27	10283
CWF19L1	55280
CXCR2	3579
CXCR4	7852
CYB5A	1528
CYB5R3	1727
CYBA	1535
CYBB	1536
CYLD	1540
CYP11A1	1583
CYP11B1	1584
CYP11B2	1585
CYP17A1	1586
CYP19A1	1588
CYP1B1	1545
CYP21A2	1589
CYP24A1	1591
CYP26C1	340665
CYP27A1	1593
CYP27B1	1594
CYP2R1	120227
CYP2U1	113612
CYP4F22	126410
CYP4V2	285440
CYP7A1	1581
CYP7B1	9420
D2HGDH	728294
DAB1	1600
DACH1	1602
DACT1	51339
DAG1	1605
DARS2	55157
DAXX	1616
DBC1	1620
DBH	1621
DBT	1629
DCAF17	80067
DCC	1630
DCDC2	51473
DCHS1	8642
DCLK1	9201
DCLRE1C	64421
DCN	1634
DCPS	28960
DCT	1638
DCUN1D1	54165
DCUN1D5	84259
DCX	1641
DCXR	51181
DDB1	1642
DDB2	1643
DDC	1644
DDHD1	80821
DDHD2	23259
DDR2	4921
DDX1	1653
DDX11	1663
DDX3X	1654
DDX41	51428
DDX46	9879
DDX5	1655
DDX6	1656
DEAF1	10522
DEGS1	8560
DENND1A	57706
DENND5A	23258
DEPDC5	9681
DES	1674
DGAT1	8694
DGCR8	54487
DGKE	8526
DGUOK	1716
DHCR24	1718
DHCR7	1717
DHDDS	79947
DHH	50846
DHODH	1723
DHPS	1725
DHTKD1	55526
DHX15	1665
DIAPH1	1729
DIAPH2	1730
DICER1	23405
DIS3L2	129563
DKC1	1736
DLAT	1737
DLD	1738
DLG1	1739
DLG3	1741
DLG4	1742
DLGAP1	9229
DLL1	28514
DLL3	10683
DLL4	54567
DLX1	1745
DLX3	1747
DMD	1756
DMP1	1758
DMTF1	9988
DNA2	1763
DNAAF1	123872
DNAAF11	23639
DNAAF2	55172
DNAAF3	352909
DNAAF4	161582
DNAAF5	54919
DNAAF6	139212
DNAH1	25981
DNAH10	196385
DNAH11	8701
DNAH17	8632
DNAH5	1767
DNAH8	1769
DNAH9	1770
DNAI1	27019
DNAI2	64446
DNAJB11	51726
DNAJB2	3300
DNAJC12	56521
DNAJC19	131118
DNAJC2	27000
DNAJC21	134218
DNAJC3	5611
DNAJC6	9829
DNAL1	83544
DNASE1L3	1776
DNM1L	10059
DNM2	1785
DNMBP	23268
DNMT1	1786
DNMT3A	1788
DNMT3B	1789
DOCK2	1794
DOCK3	1795
DOCK6	57572
DOCK7	85440
DOCK8	81704
DOK7	285489
DOLK	22845
DONSON	29980
DPAGT1	1798
DPF2	5977
DPH1	1801
DPM1	8813
DPM2	8818
DPM3	54344
DPP10	57628
DPY19L2	283417
DPYD	1806
DPYS	1807
DRAM2	128338
DRC1	92749
DRP2	1821
DSC2	1824
DSC3	1825
DSCAM	1826
DSE	29940
DSG1	1828
DSG2	1829
DSG4	147409
DSP	1832
DST	667
DSTYK	25778
DTNBP1	84062
DUOX2	50506
DUOXA2	405753
DUSP6	1848
DVL1	1855
DVL3	1857
DYM	54808
DYNC1I2	1781
DYNC2H1	79659
DYNC2I1	55112
DYNC2I2	89891
DYNC2LI1	51626
DYNLT2B	255758
DYRK1A	1859
DYSF	8291
DZIP1L	199221
E2F3	1871
EARS2	124454
EBF1	1879
EBF2	64641
EBF3	253738
EBP	10682
ECEL1	9427
ECHS1	1892
ECM1	1893
EDA	1896
EDAR	10913
EDARADD	128178
EDEM3	80267
EDN3	1908
EDNRA	1909
EDNRB	1910
EEA1	8411
EED	8726
EEF1D	1936
EFEMP1	2202
EFEMP2	30008
EFHA1	221154
EFHC1	114327
EFNA5	1946
EFNB1	1947
EFNB2	1948
EFTUD2	9343
EGLN1	54583
EGR3	1960
EHMT1	79813
EIF2AK3	9451
EIF2AK4	440275
EIF2B1	1967
EIF2B2	8892
EIF2B3	8891
EIF2B4	8890
EIF2B5	8893
EIF2C3	192669
EIF2S1	1965
EIF2S2	8894
EIF4G1	1981
EIF4G2	1982
EIF5	1983
EIF5A	1984
ELAC2	60528
ELANE	1991
ELAVL1	1994
ELAVL2	1993
ELF3	1999
ELMO2	63916
ELN	2006
ELOVL4	6785
ELOVL5	60481
ELOVL6	79071
ELP1	8518
ELP2	55250
EMC1	23065
EMD	2010
EML1	2009
EMX2	2018
ENAM	10117
ENG	2022
ENO3	2027
ENPP1	5167
ENTPD1	953
EOGT	285203
EP300	2033
EPB41	2035
EPB42	2038
EPC2	26122
EPCAM	4072
EPG5	57724
EPHA2	1969
EPHA4	2043
EPHA7	2045
EPHB1	2047
EPHB2	2048
EPHB4	2050
EPHX1	2052
EPM2A	7957
EPO	2056
EPOR	2057
EPRS1	2058
EPS8	2059
EPS8L2	64787
ERBB2	2064
ERBB3	2065
ERBB4	2066
ERC2	26059
ERCC1	2067
ERCC2	2068
ERCC3	2071
ERCC4	2072
ERCC5	2073
ERCC6	2074
ERCC6L2	375748
ERCC8	1161
ERF	2077
ERG	2078
ERI1	90459
ERLIN2	11160
ERP44	23071
ESCO2	157570
ESPN	83715
ESR1	2099
ESRRB	2103
ETF1	2107
ETFA	2108
ETFB	2109
ETFDH	2110
ETHE1	23474
ETV1	2115
ETV5	2119
ETV6	2120
EVC	2121
EVC2	132884
EWSR1	2130
EXO1	9156
EXOC3L2	90332
EXOC5	10640
EXOC6B	23233
EXOSC3	51010
EXPH5	23086
EXT1	2131
EXT2	2132
EYA1	2138
EYA4	2070
EYS	346007
EZH2	2146
F10	2159
F11	2160
F12	2161
F13A1	2162
F13B	2165
F2	2147
F5	2153
F7	2155
F8	2157
F9	2158
FA2H	79152
FAF1	11124
FAH	2184
FAM149B1	317662
FAM161A	84140
FAM175B	23172
FAM177A1	283635
FAM20A	54757
FAM20B	9917
FAM20C	56975
FAM49B	51571
FAM83H	286077
FAN1	22909
FANCA	2175
FANCB	2187
FANCC	2176
FANCD2	2177
FANCE	2178
FANCF	2188
FANCG	2189
FANCI	55215
FANCL	55120
FANCM	57697
FAR1	84188
FARS2	10667
FARSB	10056
FAS	355
FASLG	356
FASTKD2	22868
FAT1	2195
FAT4	79633
FBLN5	10516
FBN1	2200
FBP1	2203
FBXL17	64839
FBXL20	84961
FBXL3	26224
FBXL4	26235
FBXO11	80204
FBXO7	25793
FBXW7	55294
FCHO1	23149
FDPS	2224
FDX2	112812
FDXR	2232
FECH	2235
FERMT1	55612
FERMT3	83706
FEZF2	55079
FGA	2243
FGB	2244
FGD1	2245
FGD4	121512
FGF10	2255
FGF14	2259
FGF16	8823
FGF17	8822
FGF20	26281
FGF23	8074
FGF3	2248
FGF5	2250
FGF8	2253
FGF9	2254
FGFR1	2260
FGFR2	2263
FGG	2266
FH	2271
FHL1	2273
FIG4	9896
FIGLA	344018
FIGN	55137
FITM2	128486
FKBP10	60681
FKBP14	55033
FKRP	79147
FKTN	2218
FLAD1	80308
FLCN	201163
FLG	2312
FLG2	388698
FLI1	2313
FLNA	2316
FLNC	2318
FLT1	2321
FLT4	2324
FLVCR1	28982
FLVCR2	55640
FMN2	56776
FMO3	2328
FMR1	2332
FN1	2335
FNDC3A	22862
FOLR1	2348
FOXC1	2296
FOXC2	2303
FOXF1	2294
FOXG1	2290
FOXJ1	2302
FOXJ3	22887
FOXL2	668
FOXN1	8456
FOXO1	2308
FOXO3	2309
FOXP1	27086
FOXP2	93986
FOXP3	50943
FOXRED1	55572
FRAS1	80144
FREM2	341640
FRMD5	84978
FRMD7	90167
FRMPD4	9758
FRRS1L	23732
FRS2	10818
FSHB	2488
FSHR	2492
FSIP2	401024
FST	10468
FTCD	10841
FTSJ1	24140
FUBP1	8880
FUCA1	2517
FURIN	5045
FUS	2521
FUT1	2523
FUT2	2524
FUT8	2530
FXN	2395
FXR1	8087
FYB1	2533
FYCO1	79443
FYN	2534
FZD2	2535
FZD3	7976
FZD4	8322
FZD6	8323
G3BP2	9908
G6PC1	2538
G6PC3	92579
G6PD	2539
GAA	2548
GABRA1	2554
GABRB3	2562
GABRG2	2566
GAD1	2571
GALC	2581
GALE	2582
GALK1	2584
GALM	130589
GALNS	2588
GALNT12	79695
GALNT13	114805
GALNT2	2590
GALNT3	2591
GALNTL5	168391
GALT	2592
GAMT	2593
GAN	8139
GANAB	23193
GARS1	2617
GAS8	2622
GATA2	2624
GATA3	2625
GATA4	2626
GATA6	2627
GATAD2B	57459
GATM	2628
GBA2	57704
GBE1	2632
GCDH	2639
GCGR	2642
GCH1	2643
GCK	2645
GCKR	2646
GCM2	9247
GCNA	93953
GCNT2	2651
GCSH	2653
GDAP1	54332
GDAP2	54834
GDF1	2657
GDF5	8200
GDF9	2661
GDI1	2664
GEMIN5	25929
GFER	2671
GFI1B	8328
GFM1	85476
GFM2	84340
GFPT1	2673
GGCX	2677
GH1	2688
GHR	2690
GHRHR	2692
GIPC3	126326
GJA3	2700
GJA5	2702
GJA8	2703
GJB1	2705
GJB2	2706
GJB3	2707
GJC2	57165
GK	2710
GLA	2717
GLB1	2720
GLDC	2731
GLDN	342035
GLE1	2733
GLI1	2735
GLI2	2736
GLI3	2737
GLIS3	169792
GLMN	11146
GLRA1	2741
GLRB	2743
GLS	2744
GLUL	2752
GLYCTK	132158
GM2A	2760
GMDS	2762
GMNN	51053
GMPPA	29926
GMPPB	29925
GMPS	8833
GNAL	2774
GNAO1	2775
GNAQ	2776
GNAS	2778
GNAT1	2779
GNAT2	2780
GNB1	2782
GNB2L1	10399
GNB3	2784
GNB5	10681
GNE	10020
GNPAT	8443
GNPTAB	79158
GNPTG	84572
GNRH1	2796
GNRHR	2798
GNS	2799
GOLGA2	2801
GORAB	92344
GOSR2	9570
GP1BA	2811
GP1BB	2812
GP6	51206
GP9	2815
GPAA1	8733
GPC3	2719
GPC4	2239
GPC6	10082
GPD1	2819
GPHN	10243
GPI	2821
GPIHBP1	338328
GPNMB	10457
GPR143	4935
GPR179	440435
GPSM2	29899
GPT2	84706
GPX4	2879
GRB10	2887
GREB1L	80000
GRHL2	79977
GRHL3	57822
GRHPR	9380
GRIA1	2890
GRIA2	2891
GRIA3	2892
GRID2	2895
GRIK2	2898
GRIN1	2902
GRIN2A	2903
GRIN2B	2904
GRIP1	23426
GRK1	6011
GRM1	2911
GRM6	2916
GRM7	2917
GRN	2896
GRXCR1	389207
GSC	145258
GSDME	1687
GSK3B	2932
GSN	2934
GSS	2937
GTF2H1	2965
GTF2H5	404672
GTPBP2	54676
GTPBP3	84705
GUCY1A1	2982
GUCY2D	3000
GUSB	2990
GYG1	2992
GYPC	2995
GYS1	2997
GYS2	2998
GZF1	64412
H6PD	9563
HAAO	23498
HACE1	57531
HADH	3033
HADHA	3030
HADHB	3032
HAL	3034
HAMP	57817
HAND1	9421
HARS2	23438
HAS2	3037
HAX1	10456
HBA1	3039
HBA2	3040
HBB	3043
HBD	3045
HBS1L	10767
HCCS	3052
HCN4	10021
HDAC2	3066
HDAC4	9759
HDAC5	10014
HDAC8	55869
HDAC9	9734
HECTD1	25831
HELLS	3070
HEPACAM	220296
HERC1	8925
HERC2	8924
HESX1	8820
HEXA	3073
HEXB	3074
HFE	3077
HFM1	164045
HGD	3081
HGF	3082
HGSNAT	138050
HHAT	55733
HHIP	64399
HIBCH	26275
HID1	283987
HIF1A	3091
HINT1	3094
HIVEP2	3097
HJV	148738
HK1	3098
HLCS	3141
HMBOX1	79618
HMBS	3145
HMGA2	8091
HMGCL	3155
HMGCR	3156
HMGCS2	3158
HMOX1	3162
HNF1A	6927
HNF1B	6928
HNF4A	3172
HNRNPA1	3178
HNRNPA2B1	3181
HNRNPC	3183
HNRNPD	3184
HNRNPH1	3187
HNRNPH3	3189
HNRNPK	3190
HNRNPR	10236
HNRNPU	3192
HNRNPUL2-BSCL2	100534595
HOGA1	112817
HOMER1	9456
HOMER2	9455
HOXA1	3198
HOXA11	3207
HOXA13	3209
HOXA2	3199
HOXB1	3211
HOXC13	3229
HOXD13	3239
HPCA	3208
HPD	3242
HPDL	84842
HPGD	3248
HPRT1	3251
HPS1	3257
HPS3	84343
HPS4	89781
HPS5	11234
HPS6	79803
HPSE2	60495
HR	55806
HS2ST1	9653
HS6ST3	266722
HSD11B2	3291
HSD17B3	3293
HSD17B4	3295
HSD3B2	3284
HSD3B7	80270
HSF4	3299
HSPA4	3308
HSPA8	3312
HSPA9	3313
HSPB1	3315
HSPB8	26353
HSPD1	3329
HSPG2	3339
HTRA1	5654
HTRA2	27429
HTT	3064
HYAL1	3373
HYAL2	8692
HYDIN	54768
IARS1	3376
IARS2	55699
IBA57	200205
ICOS	29851
IDH3A	3419
IDH3B	3420
IDS	3423
IDUA	3425
IFIH1	64135
IFNAR2	3455
IFNGR1	3459
IFNGR2	3460
IFT122	55764
IFT140	9742
IFT172	26160
IFT27	11020
IFT43	112752
IFT52	51098
IFT74	80173
IFT80	57560
IFT81	28981
IFT88	8100
IGF1	3479
IGF1R	3480
IGF2BP1	10642
IGF2BP3	10643
IGFALS	3483
IGFBP7	3490
IGHMBP2	3508
IGLL1	3543
IGSF1	3547
IGSF3	3321
IHH	3549
IKBKB	3551
IKBKG	8517
IKZF1	10320
IKZF2	22807
IL10RA	3587
IL10RB	3588
IL11RA	3590
IL12B	3593
IL12RB1	3594
IL17RA	23765
IL17RC	84818
IL1RAPL1	11141
IL1RAPL2	26280
IL1RN	3557
IL21R	50615
IL2RA	3559
IL2RB	3560
IL2RG	3561
IL36RN	26525
IL6ST	3572
IL7R	3575
ILDR1	286676
ILF2	3608
IMPG1	3617
IMPG2	50939
INF2	64423
INHBA	3624
INPP4A	3631
INPP5E	56623
INPPL1	3636
INS-IGF2	723961
INSL3	3640
INSR	3643
INTS1	26173
INTU	27152
INVS	27130
IPO7	10527
IPO8	10526
IQCB1	9657
IQCE	23288
IQGAP1	8826
IQSEC2	23096
IRAK3	11213
IRAK4	51135
IREB2	3658
IRF1	3659
IRF2BPL	64207
IRF6	3664
IRS4	8471
ISCA1	81689
ISCA2	122961
ISG15	9636
ISL1	3670
ITCH	83737
ITGA2B	3674
ITGA3	3675
ITGA6	3655
ITGA7	3679
ITGA8	8516
ITGB1	3688
ITGB2	3689
ITGB4	3691
ITK	3702
ITPA	3704
ITPR1	3708
IVD	3712
